Year,"Perkhidmatan penginapan
Accommodation services","Perkhidmatan penyediaan makanan dan minuman
Food and beverage serving services","Perkhidmatan pengangkutan penumpang 
Passenger transport services","Perkhidmatan agensi pengembaraan dan penempahan lain 
Travel agencies and other reservation services","Perkhidmatan kebudayaan sukan dan rekreasi
Cultural sports and recreational services","Barang khusus bercirikan pelancongan negara
Country-specific tourism characteristic goods","Perkhidmatan khusus bercirikan pelancongan negara 
Country-specific tourism characteristic services","Jumlah
Total",source_file
2015,8184.9,3423.4,11795.0,809.2,746.9,5819.7,342.3,31121.4,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2016,8238.0,3914.8,12220.9,987.2,851.0,7387.0,442.5,34041.4,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2017,9072.3,4748.5,13789.9,1158.2,1042.4,8570.4,501.9,38883.5,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2018,9624.1,5470.1,13000.8,1451.8,1275.0,9731.1,575.8,41128.7,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2019,10080.0,5824.0,14224.0,1568.0,1568.0,10886.4,649.6,44800.1,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2020,3747.6,2213.4,5927.5,575.8,592.3,3675.3,487.3,17219.2,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2021,3133.1,2107.6,2822.7,104.9,94.4,1887.4,335.5,10485.6,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2022,4800.7,3763.9,6986.9,788.8,473.3,5161.3,563.5,22538.4,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
2023,8742.8,6307.6,9661.0,1437.2,798.4,12056.3,918.2,39921.6,transposed_cleaned_Outbound tourism expenditure of visitors by products.csv
